Department,Year,Semester,CGPA,Attendance,Club,CareerGoal,Hosteller,Scholarship
CT,1,1,8.6,72,Sports Club,Robotics Engineer,Yes,Merit
EE,1,2,8.38,64,Robotics Club,Data Scientist,No,EWS
DS,4,7,8.96,60,Drama Club,Software Engineer,No,
ETC,4,8,7.22,100,Sports Club,Software Engineer,Yes,EWS
AI/ML,2,4,7.52,84,NSS,Software Engineer,Yes,SC
CT,3,6,7.06,97,NCC,Robotics Engineer,Yes,SC
EC,3,6,6.24,66,NCC,Software Engineer,No,Merit
EC,1,2,7.23,81,NCC,AI Engineer,Yes,SC
CS,3,6,7.86,66,NCC,Research Scientist,No,Merit
CS,3,5,8.28,75,Sports Club,Software Engineer,Yes,ST
EC,4,7,6.65,93,Robotics Club,Robotics Engineer,Yes,ST
DS,1,1,9.37,97,Drama Club,Software Engineer,Yes,SC
EC,2,4,7.96,67,Robotics Club,Entrepreneur,No,
CE,3,5,8.05,84,Drama Club,Professor,Yes,
EC,4,7,9.46,74,NSS,Professor,Yes,SC
EC,1,1,9.76,92,Coding Club,Software Engineer,No,OBC
CS,3,5,6.49,90,Music Club,Research Scientist,Yes,EWS
ETC,2,4,8.75,77,Photography Club,AI Engineer,Yes,SC
CE,4,8,6.63,88,NSS,Robotics Engineer,Yes,EWS
DS,2,4,6.59,89,NSS,Entrepreneur,Yes,Merit
AI/ML,4,8,9.72,89,Robotics Club,Research Scientist,No,OBC
IIOT,3,6,9.5,82,Music Club,Data Scientist,Yes,Merit
CT,3,6,6.4,66,Photography Club,Data Scientist,Yes,OBC
IIOT,4,8,8.59,85,NSS,Research Scientist,No,OBC
ETC,2,4,7.52,72,Drama Club,Professor,No,
EC,2,3,6.2,68,Music Club,Robotics Engineer,Yes,
CE,3,6,5.66,64,NSS,Research Scientist,Yes,Merit
AI/ML,1,2,9.45,64,Coding Club,Research Scientist,Yes,SC
EC,3,6,6.02,79,Drama Club,Professor,No,ST
ME,2,3,6.27,67,Drama Club,Entrepreneur,Yes,OBC
ETC,2,3,8.83,88,Robotics Club,Robotics Engineer,No,SC
IT,1,2,5.79,80,Photography Club,Software Engineer,Yes,Merit
ETC,3,6,6.94,71,Sports Club,Entrepreneur,No,Merit
EE,2,3,9.77,71,NSS,Entrepreneur,No,OBC
ETC,2,3,6.42,80,NCC,Research Scientist,Yes,
ETC,2,3,8.2,74,Music Club,Robotics Engineer,Yes,ST
ME,1,1,5.66,100,NCC,Robotics Engineer,Yes,
CS,3,5,6.95,91,Robotics Club,Research Scientist,No,OBC
DS,1,2,6.86,74,Photography Club,Entrepreneur,No,EWS
DS,3,6,9.04,85,Photography Club,Research Scientist,No,SC
IT,3,6,7.96,64,Sports Club,Data Scientist,No,Merit
EC,3,6,8.33,72,NSS,Research Scientist,No,Merit
AI/ML,2,3,9.39,93,Music Club,Professor,Yes,EWS
IT,1,1,6.65,76,NSS,Professor,No,ST
RE,4,8,5.75,72,Sports Club,AI Engineer,No,EWS
DS,2,4,8.39,75,Coding Club,AI Engineer,No,EWS
ETC,4,7,7.99,85,Photography Club,Robotics Engineer,Yes,Merit
DS,1,1,8.37,75,Robotics Club,Entrepreneur,Yes,
ME,2,3,6.49,84,Sports Club,Software Engineer,Yes,Merit
CS,3,6,9.75,67,NSS,Pilot,Yes,
EC,4,8,9.85,88,Robotics Club,Pilot,Yes,SC
IT,1,2,6.93,99,NSS,Entrepreneur,No,SC
ME,4,8,9.19,70,Sports Club,Robotics Engineer,No,
ME,1,1,5.97,88,NCC,Professor,No,ST
AE,3,6,6.1,87,Sports Club,AI Engineer,Yes,EWS
CS,2,4,6.86,81,Music Club,Professor,Yes,EWS
ETC,4,7,6.49,100,Drama Club,Software Engineer,No,Merit
IIOT,4,7,8.94,96,NSS,Entrepreneur,Yes,Merit
IIOT,1,1,7.77,80,NSS,Data Scientist,Yes,Merit
EE,3,6,7.22,100,Photography Club,Data Scientist,No,
AE,2,3,7.78,93,Photography Club,Data Scientist,Yes,SC
CT,4,8,5.93,92,Photography Club,Professor,Yes,Merit
CE,2,4,7.86,72,NCC,Software Engineer,Yes,
CT,2,4,6.06,84,Drama Club,Robotics Engineer,Yes,ST
IIOT,2,4,9.0,61,Robotics Club,Software Engineer,No,
EE,2,4,8.74,87,Photography Club,AI Engineer,No,ST
EE,1,1,8.62,64,Drama Club,AI Engineer,No,Merit
ME,4,7,9.07,69,NCC,Software Engineer,Yes,Merit
EC,2,4,7.82,60,NSS,Entrepreneur,Yes,OBC
EC,1,2,7.49,67,NCC,Professor,No,ST
ME,2,4,9.83,75,Sports Club,AI Engineer,No,Merit
ME,2,4,5.91,62,Drama Club,Robotics Engineer,No,OBC
CS,4,8,7.66,81,Drama Club,Entrepreneur,No,SC
ME,2,3,9.31,89,NSS,AI Engineer,Yes,OBC
IT,1,1,5.98,73,NSS,Research Scientist,Yes,SC
EE,2,3,8.46,99,Robotics Club,Entrepreneur,No,ST
ME,2,3,8.09,93,Music Club,Software Engineer,No,Merit
IIOT,2,3,7.15,66,Photography Club,Software Engineer,Yes,SC
EC,4,8,6.54,67,Coding Club,Professor,Yes,Merit
CE,3,6,9.6,89,Photography Club,AI Engineer,Yes,
CT,3,6,6.92,93,Robotics Club,Data Scientist,No,
RE,2,3,9.09,65,Music Club,Software Engineer,No,
EE,2,4,8.84,85,Robotics Club,AI Engineer,Yes,SC
ETC,3,6,8.71,79,Robotics Club,Research Scientist,Yes,
AE,3,6,5.88,71,NCC,Software Engineer,Yes,Merit
EE,2,4,7.91,74,Robotics Club,Professor,Yes,Merit
CE,2,4,7.35,95,Music Club,Professor,No,ST
CE,3,6,8.62,89,Sports Club,Software Engineer,No,SC
ETC,3,6,8.4,90,Music Club,AI Engineer,No,Merit
CT,1,2,8.36,82,Photography Club,Robotics Engineer,Yes,Merit
AE,2,3,9.52,96,Coding Club,Software Engineer,Yes,EWS
EC,3,5,5.97,64,NSS,Robotics Engineer,No,ST
AE,4,8,7.66,63,Coding Club,Software Engineer,Yes,EWS
IT,3,6,6.72,81,Photography Club,Research Scientist,No,ST
CT,3,5,7.91,92,Sports Club,Professor,Yes,
EC,4,7,8.96,81,Sports Club,Data Scientist,No,ST
EC,2,3,5.67,94,Photography Club,Professor,Yes,OBC
AI/ML,2,4,9.26,80,Photography Club,Professor,No,Merit
CE,1,1,7.33,76,NCC,Robotics Engineer,Yes,OBC
RE,2,4,6.52,61,Coding Club,Professor,No,EWS
CS,4,7,8.33,94,NSS,Software Engineer,No,OBC
CS,2,3,6.18,81,Photography Club,Entrepreneur,Yes,
ME,3,5,9.58,75,Coding Club,Entrepreneur,No,SC
ETC,2,3,7.26,67,NCC,Research Scientist,No,SC
CS,3,6,5.74,93,NCC,Data Scientist,Yes,SC
AE,1,2,6.74,73,Music Club,Research Scientist,No,Merit
AI/ML,2,4,6.25,81,NSS,Professor,No,OBC
IIOT,2,3,7.59,98,Sports Club,Robotics Engineer,No,ST
AI/ML,1,2,7.43,62,Coding Club,Pilot,Yes,Merit
AI/ML,3,6,8.23,63,Robotics Club,Pilot,No,Merit
ETC,1,2,9.1,84,NCC,Research Scientist,No,ST
ETC,1,2,9.64,75,Robotics Club,Research Scientist,No,EWS
AI/ML,1,1,7.87,70,Sports Club,Software Engineer,Yes,Merit
ETC,1,1,6.65,89,Robotics Club,Professor,No,SC
CS,3,5,6.05,82,Robotics Club,Software Engineer,No,SC
ME,3,5,7.18,97,Drama Club,Data Scientist,Yes,
EE,2,3,9.37,80,NCC,AI Engineer,Yes,EWS
CS,1,1,7.5,89,Drama Club,Entrepreneur,Yes,SC
AI/ML,2,4,9.02,77,Drama Club,Pilot,Yes,EWS
DS,3,6,9.64,66,Coding Club,Pilot,Yes,EWS
CS,4,7,6.86,82,Drama Club,Robotics Engineer,Yes,SC
IT,2,3,8.45,76,Photography Club,Data Scientist,No,ST
EE,4,7,6.64,91,Photography Club,AI Engineer,Yes,ST
IIOT,3,5,6.75,94,Drama Club,Pilot,No,ST
RE,4,7,8.67,75,Robotics Club,Data Scientist,Yes,
IT,1,2,6.49,83,NCC,Robotics Engineer,No,ST
DS,4,8,6.09,73,NSS,Entrepreneur,No,SC
DS,1,2,9.71,86,Sports Club,Software Engineer,Yes,ST
IT,1,1,7.55,76,Sports Club,Pilot,No,ST
CE,3,6,7.94,82,Robotics Club,Software Engineer,No,SC
EE,3,5,9.35,82,Sports Club,Data Scientist,Yes,OBC
ME,4,7,7.23,61,Robotics Club,Robotics Engineer,No,EWS
ETC,4,7,6.88,98,NSS,Research Scientist,Yes,Merit
AI/ML,1,1,9.39,93,Coding Club,Robotics Engineer,No,SC
AI/ML,4,7,6.17,84,Coding Club,Robotics Engineer,No,ST
DS,1,2,7.02,71,Robotics Club,Software Engineer,Yes,SC
ME,2,4,8.63,77,Music Club,Robotics Engineer,No,
RE,3,5,8.8,86,Photography Club,Pilot,No,OBC
CS,1,1,8.08,79,Photography Club,AI Engineer,No,EWS
AI/ML,2,4,8.96,92,Sports Club,AI Engineer,Yes,ST
IIOT,1,1,8.74,79,Photography Club,Software Engineer,Yes,
EE,1,2,6.63,81,Music Club,Data Scientist,No,SC
CE,4,8,6.89,86,Sports Club,Pilot,Yes,EWS
AE,2,3,8.49,88,Drama Club,Robotics Engineer,Yes,EWS
ME,3,6,7.0,75,Music Club,Research Scientist,Yes,OBC
ME,3,5,5.52,94,Sports Club,Software Engineer,No,ST
ETC,1,2,5.76,61,Music Club,Robotics Engineer,No,ST
IT,4,8,6.66,82,NCC,AI Engineer,Yes,EWS
CE,2,3,9.65,85,Music Club,Pilot,No,Merit
CT,4,8,6.01,93,NSS,Research Scientist,Yes,ST
CT,1,1,8.23,80,Music Club,Research Scientist,Yes,EWS
AI/ML,4,8,6.89,63,NSS,Research Scientist,Yes,OBC
CS,2,4,7.51,100,NSS,Pilot,No,OBC
DS,2,3,6.65,77,Photography Club,AI Engineer,No,EWS
AE,4,7,5.66,68,Drama Club,Pilot,Yes,Merit
CS,3,5,6.95,85,NCC,Research Scientist,Yes,ST
DS,3,6,7.28,92,Sports Club,Pilot,Yes,Merit
IT,4,7,5.83,92,NCC,Professor,Yes,Merit
AE,2,4,9.34,68,Drama Club,Research Scientist,No,SC
EE,1,1,8.84,89,Music Club,Pilot,No,Merit
EE,4,8,8.43,77,Sports Club,AI Engineer,No,Merit
ME,4,7,6.38,94,Photography Club,Professor,Yes,Merit
EE,4,7,6.42,81,Drama Club,Research Scientist,Yes,ST
IT,2,4,8.62,92,Music Club,Research Scientist,Yes,OBC
CT,2,3,5.71,70,Sports Club,Pilot,No,Merit
RE,4,8,7.71,85,NCC,AI Engineer,Yes,EWS
RE,4,7,8.27,88,Music Club,Research Scientist,Yes,SC
IIOT,4,8,6.05,80,Music Club,Entrepreneur,No,SC
EC,2,4,6.3,84,NSS,Robotics Engineer,Yes,Merit
CS,4,7,9.51,61,Coding Club,Robotics Engineer,Yes,Merit
AI/ML,3,5,6.7,71,Sports Club,Pilot,Yes,Merit
IIOT,1,2,5.93,60,Sports Club,Research Scientist,Yes,SC
CE,2,3,9.23,86,Music Club,AI Engineer,Yes,SC
DS,1,1,7.91,62,Robotics Club,Research Scientist,No,Merit
ETC,3,5,7.1,70,NSS,Research Scientist,No,OBC
CE,1,1,6.69,75,Music Club,Professor,No,ST
AI/ML,2,4,7.65,82,Photography Club,Research Scientist,No,SC
AI/ML,2,4,6.65,84,Music Club,Research Scientist,Yes,SC
DS,3,6,9.49,80,Photography Club,Data Scientist,No,OBC
ME,3,5,5.75,67,Drama Club,Pilot,Yes,OBC
RE,3,6,8.16,66,Sports Club,Professor,No,OBC
DS,1,1,5.5,92,Robotics Club,Robotics Engineer,No,EWS
RE,4,7,8.33,77,Drama Club,Professor,No,OBC
EC,4,7,9.21,62,Sports Club,Data Scientist,Yes,OBC
CS,2,4,7.0,88,Photography Club,Pilot,No,SC
CE,3,5,7.91,74,Robotics Club,Data Scientist,No,EWS
IIOT,3,5,7.21,87,NCC,AI Engineer,Yes,SC
CE,4,7,6.93,72,Music Club,AI Engineer,Yes,Merit
CE,1,2,6.19,86,Drama Club,Research Scientist,Yes,Merit
DS,1,2,7.39,73,NSS,AI Engineer,No,EWS
AI/ML,2,3,8.88,96,Music Club,Robotics Engineer,Yes,OBC
DS,1,1,6.01,91,Drama Club,Data Scientist,No,OBC
EE,4,8,8.64,86,NCC,Data Scientist,No,ST
DS,1,1,7.15,70,Coding Club,Robotics Engineer,Yes,ST
CT,2,3,5.98,83,Photography Club,Software Engineer,Yes,Merit
EE,2,3,6.01,100,NSS,Professor,No,SC
IIOT,4,7,6.07,82,Sports Club,Robotics Engineer,Yes,Merit
DS,3,5,9.08,84,Drama Club,Data Scientist,No,SC
IIOT,2,3,6.39,65,Sports Club,Software Engineer,Yes,OBC
IIOT,3,5,7.57,67,Coding Club,Entrepreneur,No,EWS
DS,4,8,8.95,61,Sports Club,AI Engineer,No,ST
ETC,1,1,6.01,64,NCC,Robotics Engineer,No,OBC
CE,2,3,8.9,75,Sports Club,Software Engineer,No,ST
IIOT,3,6,8.1,93,Sports Club,Professor,No,SC
CT,4,8,7.95,86,Coding Club,Research Scientist,Yes,Merit
CE,4,8,6.11,63,Drama Club,Entrepreneur,No,
DS,3,5,6.19,63,Coding Club,Professor,Yes,SC
IT,4,7,5.78,89,Drama Club,AI Engineer,Yes,OBC
EC,2,3,7.24,73,Drama Club,Software Engineer,Yes,
RE,3,6,6.4,99,NCC,Entrepreneur,Yes,EWS
CE,3,6,9.9,73,NCC,Software Engineer,No,Merit
EC,2,3,8.88,90,Coding Club,Entrepreneur,Yes,EWS
ETC,2,4,8.24,72,Music Club,Professor,Yes,ST
ETC,4,8,6.95,87,NCC,Data Scientist,Yes,
CE,2,4,9.15,92,Music Club,Professor,No,ST
RE,2,4,7.79,98,Robotics Club,Software Engineer,No,OBC
CS,4,7,8.15,88,Drama Club,Research Scientist,Yes,ST
IT,3,5,9.58,99,Drama Club,AI Engineer,No,Merit
EC,2,3,5.72,79,Photography Club,Pilot,Yes,ST
CS,3,6,6.38,98,Drama Club,Data Scientist,Yes,
CT,1,2,8.62,95,NSS,Software Engineer,No,ST
CS,1,1,8.68,81,Sports Club,Professor,No,
AE,2,4,8.38,91,Photography Club,Data Scientist,No,SC
CT,4,8,8.12,68,NCC,Data Scientist,No,ST
IT,2,4,7.69,89,Robotics Club,Software Engineer,Yes,
RE,3,6,8.31,91,NSS,Professor,No,SC
ETC,3,5,7.83,82,Photography Club,Research Scientist,Yes,ST
CT,4,7,6.72,68,Coding Club,Software Engineer,Yes,EWS
CT,1,1,8.45,65,Drama Club,Robotics Engineer,No,SC
CT,4,7,7.57,71,Photography Club,Entrepreneur,No,Merit
ETC,3,6,8.94,89,NSS,Entrepreneur,Yes,SC
IT,1,2,7.89,78,NSS,AI Engineer,Yes,Merit
RE,3,6,8.8,97,Photography Club,AI Engineer,No,EWS
IT,1,1,8.17,98,Robotics Club,Software Engineer,Yes,ST
AI/ML,1,1,5.99,96,Coding Club,Robotics Engineer,Yes,OBC
EC,2,4,9.12,65,NCC,Pilot,No,EWS
EC,2,3,8.77,93,Coding Club,AI Engineer,Yes,OBC
IIOT,2,3,8.85,84,NSS,Research Scientist,No,SC
EE,1,1,7.4,66,Sports Club,AI Engineer,No,
IT,4,7,6.62,65,Music Club,Research Scientist,No,Merit
CE,4,7,7.4,93,NSS,Entrepreneur,No,SC
ME,3,5,6.24,78,NSS,Research Scientist,No,SC
AI/ML,4,7,6.96,91,Music Club,Software Engineer,Yes,OBC
IIOT,4,8,6.27,95,Robotics Club,AI Engineer,Yes,ST
CT,2,3,5.68,66,NCC,Data Scientist,Yes,EWS
EC,3,6,7.71,94,Robotics Club,Software Engineer,No,EWS
AE,2,3,8.93,75,Drama Club,Research Scientist,No,OBC
DS,4,8,9.33,67,Music Club,Research Scientist,Yes,SC
CT,4,8,8.45,75,Music Club,AI Engineer,No,ST
RE,1,2,7.91,76,Music Club,Robotics Engineer,No,OBC
EC,1,1,6.35,100,Music Club,Pilot,Yes,
CT,3,6,6.28,70,Sports Club,Professor,No,SC
AE,4,8,5.88,69,Drama Club,Professor,Yes,Merit
IIOT,3,6,8.63,87,Photography Club,Entrepreneur,Yes,SC
IIOT,1,1,9.02,63,NSS,Robotics Engineer,Yes,EWS
CT,1,1,7.05,83,Coding Club,Professor,Yes,Merit
CT,4,8,7.86,64,NCC,Software Engineer,Yes,SC
DS,3,6,6.17,80,NCC,AI Engineer,No,Merit
AE,2,3,7.25,94,Photography Club,Software Engineer,No,OBC
EC,3,5,6.44,70,Music Club,Professor,Yes,ST
ME,4,8,5.73,64,Robotics Club,Robotics Engineer,Yes,SC
CE,2,4,5.58,78,Music Club,Professor,No,Merit
IT,1,1,9.7,67,Sports Club,Software Engineer,No,EWS
AE,2,4,6.49,81,Sports Club,Entrepreneur,No,ST
DS,2,4,7.35,62,Photography Club,Research Scientist,No,Merit
IT,2,3,7.9,74,NSS,AI Engineer,Yes,OBC
IIOT,3,5,6.17,61,Photography Club,Pilot,Yes,EWS
AI/ML,2,3,7.39,82,Music Club,Research Scientist,No,SC
DS,1,1,7.12,98,NCC,AI Engineer,No,EWS
EE,1,2,9.17,91,Photography Club,Entrepreneur,Yes,ST
EC,2,3,9.4,61,Drama Club,Data Scientist,Yes,
RE,3,6,8.61,78,Drama Club,Professor,Yes,Merit
CE,4,7,9.5,95,Drama Club,Robotics Engineer,Yes,ST
IT,2,4,9.69,64,NCC,Software Engineer,Yes,SC
CE,3,6,9.75,95,NSS,Pilot,No,SC
AE,4,8,6.28,61,NSS,Software Engineer,No,EWS
EC,3,5,5.94,90,Robotics Club,Professor,No,OBC
ME,3,5,6.16,86,Photography Club,Robotics Engineer,Yes,Merit
CS,3,6,9.23,79,Robotics Club,Data Scientist,No,SC
AE,4,7,6.53,73,Sports Club,Research Scientist,No,EWS
AE,3,5,7.48,69,NCC,Data Scientist,No,EWS
IIOT,3,6,7.11,75,Photography Club,Software Engineer,No,Merit
EE,2,4,6.24,91,NCC,AI Engineer,Yes,SC
AI/ML,3,6,6.84,91,Photography Club,AI Engineer,Yes,SC
EE,1,2,6.3,80,Robotics Club,Professor,Yes,Merit
ETC,4,8,6.9,71,NSS,Entrepreneur,No,OBC
CE,2,3,7.7,62,Sports Club,Pilot,No,
EC,2,3,5.69,68,Robotics Club,Pilot,No,
DS,2,3,9.72,76,Drama Club,Pilot,No,EWS
EC,1,1,6.15,62,Music Club,Software Engineer,No,EWS
AE,4,8,8.63,95,NSS,Entrepreneur,Yes,EWS
IIOT,4,7,6.07,82,NSS,AI Engineer,Yes,
IT,4,8,7.66,96,Photography Club,Entrepreneur,No,
AE,1,1,8.46,97,Coding Club,Professor,No,ST
ME,1,1,8.24,60,NSS,Data Scientist,No,
DS,2,4,7.45,66,Photography Club,Software Engineer,Yes,EWS
AI/ML,3,5,7.74,82,Drama Club,Data Scientist,No,SC
RE,4,7,9.05,76,Music Club,Entrepreneur,Yes,SC
CS,3,6,6.87,77,NSS,Professor,Yes,ST
EE,2,3,5.6,76,Drama Club,Robotics Engineer,Yes,EWS
RE,4,7,9.51,97,Music Club,Research Scientist,Yes,EWS
IIOT,4,7,7.63,89,Robotics Club,Data Scientist,No,ST
AE,1,2,7.8,79,Drama Club,Robotics Engineer,Yes,ST
CS,4,8,7.31,76,Coding Club,Entrepreneur,Yes,Merit
IIOT,2,3,9.85,76,NCC,Data Scientist,Yes,
RE,1,1,5.89,99,Photography Club,Research Scientist,No,OBC
ME,3,5,6.61,95,Drama Club,Professor,No,OBC
CS,1,1,5.6,82,Drama Club,Research Scientist,No,OBC
AI/ML,3,6,7.07,88,Drama Club,AI Engineer,Yes,EWS
AE,2,4,7.25,94,Sports Club,Professor,Yes,
AE,2,4,6.41,94,Drama Club,Entrepreneur,No,Merit
DS,1,2,7.25,72,Music Club,Pilot,No,
CE,1,1,8.76,80,Robotics Club,Entrepreneur,Yes,Merit
CS,1,1,5.67,64,Sports Club,Data Scientist,No,ST
AE,1,2,7.83,77,NSS,Professor,Yes,SC
RE,4,7,9.05,80,Coding Club,Robotics Engineer,Yes,OBC
CT,2,3,9.57,66,Music Club,Data Scientist,Yes,SC
RE,2,4,8.53,93,Music Club,Professor,Yes,Merit
AE,3,5,9.15,83,Photography Club,AI Engineer,Yes,OBC
IT,1,1,6.16,68,Sports Club,Robotics Engineer,Yes,OBC
CT,2,4,9.23,74,Drama Club,Entrepreneur,No,SC
IT,4,7,5.53,89,NCC,AI Engineer,No,SC
AI/ML,2,3,9.63,71,Music Club,Data Scientist,Yes,OBC
AI/ML,1,1,8.67,90,NSS,AI Engineer,Yes,Merit
CS,2,3,8.77,87,Drama Club,Data Scientist,No,OBC
CS,4,8,5.7,66,NSS,Entrepreneur,Yes,EWS
EE,2,3,9.22,99,Coding Club,Professor,Yes,Merit
ETC,4,7,6.33,98,NSS,Professor,Yes,OBC
AI/ML,3,5,5.83,68,NSS,Data Scientist,No,
RE,1,1,9.09,82,Drama Club,Research Scientist,Yes,OBC
IIOT,2,3,8.08,76,NSS,Data Scientist,Yes,SC
CT,4,7,9.14,84,Robotics Club,AI Engineer,Yes,
CE,2,4,7.5,97,Sports Club,Research Scientist,Yes,ST
CS,3,6,5.59,73,Coding Club,Robotics Engineer,Yes,OBC
RE,4,7,5.57,100,NSS,Research Scientist,Yes,
AI/ML,1,1,6.56,91,Photography Club,Data Scientist,No,EWS
AE,2,4,7.89,65,Drama Club,Entrepreneur,Yes,OBC
AI/ML,2,3,7.03,82,Sports Club,Pilot,Yes,EWS
EC,1,2,8.04,74,Drama Club,AI Engineer,Yes,ST
CE,4,7,6.76,79,Drama Club,Data Scientist,Yes,EWS
CE,2,3,7.28,97,Coding Club,Entrepreneur,Yes,ST
ETC,4,7,8.54,83,Drama Club,Software Engineer,Yes,Merit
AE,2,4,8.24,89,Coding Club,Professor,No,OBC
CS,2,4,8.97,71,Coding Club,Professor,No,
RE,1,1,7.5,90,NCC,Research Scientist,No,Merit
CS,4,7,6.87,83,Drama Club,Professor,Yes,ST
IIOT,4,8,8.98,89,Sports Club,Pilot,Yes,
RE,4,8,6.78,64,Drama Club,Robotics Engineer,No,ST
CS,4,7,9.06,69,NCC,AI Engineer,No,EWS
CE,3,6,8.49,79,Coding Club,Pilot,Yes,
CE,3,6,7.95,80,NSS,Professor,No,SC
AE,2,3,8.56,71,Coding Club,Data Scientist,No,ST
IIOT,1,1,6.51,88,Sports Club,Data Scientist,Yes,
EC,2,4,8.36,63,NCC,Robotics Engineer,No,SC
CT,3,5,9.27,85,Drama Club,AI Engineer,No,
AE,3,5,5.74,65,NCC,Research Scientist,Yes,Merit
ETC,2,3,6.3,66,Coding Club,Entrepreneur,No,SC
AE,2,3,8.73,76,Coding Club,Pilot,Yes,
ETC,3,6,7.0,87,NSS,AI Engineer,No,OBC
AE,1,2,9.71,72,Music Club,Entrepreneur,No,ST
AE,2,4,6.45,63,NSS,Professor,Yes,ST
CS,2,4,9.64,92,Music Club,Pilot,Yes,Merit
RE,1,2,5.89,87,Music Club,Data Scientist,Yes,EWS
CS,2,3,9.4,66,Coding Club,AI Engineer,No,ST
CT,2,3,5.57,99,Coding Club,Pilot,No,Merit
EC,2,4,9.28,88,NSS,Research Scientist,No,SC
RE,4,8,6.65,79,NCC,Data Scientist,Yes,ST
CT,1,2,7.35,72,NSS,Research Scientist,Yes,
AI/ML,1,1,5.53,80,NCC,Robotics Engineer,Yes,SC
CS,1,1,9.14,63,Sports Club,Research Scientist,No,OBC
ME,4,7,5.77,91,Photography Club,Pilot,No,ST
CE,3,5,5.66,99,Music Club,Data Scientist,Yes,ST
DS,2,3,5.6,67,Music Club,Professor,No,SC
ETC,1,2,6.89,98,NCC,Software Engineer,No,SC
DS,3,6,7.29,83,Coding Club,Entrepreneur,No,ST
EE,4,7,6.38,60,Photography Club,AI Engineer,Yes,SC
DS,4,7,8.5,99,NCC,Professor,No,Merit
IIOT,4,8,5.63,74,Sports Club,Data Scientist,No,OBC
CS,4,8,8.27,100,Photography Club,Entrepreneur,No,Merit
CT,1,1,6.24,78,Robotics Club,Entrepreneur,No,
CT,4,7,6.4,81,Music Club,Pilot,Yes,EWS
EE,1,1,6.49,95,Drama Club,Entrepreneur,No,EWS
RE,4,8,7.44,66,NCC,Data Scientist,No,EWS
RE,2,3,6.98,70,Drama Club,Professor,No,OBC
ETC,2,4,7.14,82,NSS,Robotics Engineer,No,Merit
EE,2,3,7.16,97,Robotics Club,Professor,Yes,EWS
ETC,3,6,9.62,69,Drama Club,Software Engineer,No,ST
IIOT,4,7,7.89,77,Photography Club,Software Engineer,No,EWS
CS,2,4,8.47,82,Coding Club,Entrepreneur,Yes,SC
RE,1,1,7.69,98,NSS,Robotics Engineer,Yes,
IIOT,3,5,7.16,91,Photography Club,Data Scientist,Yes,Merit
AI/ML,4,8,7.43,76,Music Club,Pilot,Yes,
CT,3,6,9.67,84,Drama Club,Professor,Yes,Merit
AE,3,6,5.97,83,NCC,AI Engineer,No,Merit
AE,4,8,8.09,96,Drama Club,Professor,Yes,OBC
AI/ML,2,3,6.13,80,Photography Club,Data Scientist,Yes,
AI/ML,4,8,9.3,71,NSS,Entrepreneur,No,
IT,2,4,6.73,70,NSS,Data Scientist,No,EWS
IIOT,1,1,6.93,96,Sports Club,Data Scientist,Yes,SC
CE,1,2,7.21,63,Sports Club,Pilot,Yes,OBC
ETC,3,5,7.26,68,Coding Club,Professor,Yes,SC
ETC,4,7,9.26,83,Music Club,Robotics Engineer,Yes,
AI/ML,1,2,8.09,67,Sports Club,Software Engineer,No,ST
IT,1,2,6.5,92,NSS,Pilot,No,OBC
RE,4,8,7.37,64,Drama Club,AI Engineer,No,SC
CT,2,4,7.64,60,Photography Club,Research Scientist,Yes,Merit
DS,1,1,7.43,85,Sports Club,Pilot,No,
DS,3,5,8.87,74,Sports Club,Pilot,No,Merit
DS,3,5,5.57,99,NSS,AI Engineer,No,Merit
DS,3,5,9.69,100,Photography Club,Research Scientist,Yes,
EE,3,5,5.6,85,Coding Club,Research Scientist,No,Merit
CT,3,5,8.5,98,Robotics Club,Research Scientist,No,OBC
ME,2,3,8.58,62,NSS,Research Scientist,No,ST
CS,2,3,9.18,94,NCC,Software Engineer,No,OBC
DS,2,3,5.79,96,Robotics Club,Pilot,No,EWS
AE,1,2,8.21,76,NCC,Software Engineer,No,Merit
EE,4,7,9.44,64,Photography Club,AI Engineer,Yes,EWS
ME,4,8,9.31,97,NCC,Research Scientist,Yes,OBC
IIOT,1,2,8.14,64,NSS,Software Engineer,Yes,
CE,2,4,9.07,89,Robotics Club,AI Engineer,No,EWS
RE,1,2,8.57,83,Robotics Club,Entrepreneur,Yes,OBC
AE,1,1,6.6,84,NCC,Professor,No,OBC
RE,1,2,8.59,70,Music Club,Software Engineer,Yes,SC
ETC,4,8,7.08,93,Sports Club,AI Engineer,Yes,ST
EE,2,4,7.62,72,Sports Club,Data Scientist,Yes,OBC
EE,1,1,8.12,74,Coding Club,Pilot,No,ST
ME,2,3,8.82,64,NCC,Professor,No,SC
CS,4,7,9.65,66,NCC,AI Engineer,Yes,SC
DS,4,7,6.7,87,Coding Club,Software Engineer,Yes,
EC,2,3,8.56,77,NSS,Entrepreneur,No,Merit
CS,3,6,9.36,69,Photography Club,Research Scientist,No,EWS
RE,1,2,7.47,88,NCC,Software Engineer,Yes,EWS
RE,4,8,8.17,82,NCC,Pilot,Yes,SC
RE,4,7,9.43,69,Music Club,AI Engineer,Yes,SC
CE,2,4,8.9,71,NSS,Professor,No,Merit
IT,2,4,9.33,75,Photography Club,Data Scientist,No,OBC
DS,1,2,7.75,87,Drama Club,Data Scientist,Yes,Merit
EC,4,8,7.79,74,Robotics Club,Software Engineer,No,SC
